System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
M103-DF0988,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M103,Tony Dapolito Recreation Center,M103,,M-02,M,"100,043,192",DRINKFTN,I,M103-BLG0644,Indoor Drinking Fountain-Tony Dapolito Recreation Center,102,3,6,10014
M103-DF0989,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M103,Tony Dapolito Recreation Center,M103,,M-02,M,"100,043,229",DRINKFTN,I,M103-BLG0644,Indoor Drinking Fountain-Tony Dapolito Recreation Center,102,3,6,10014
M103-DF0990,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M103,Tony Dapolito Recreation Center,M103,,M-02,M,"100,043,206",DRINKFTN,I,M103-BLG0644,Indoor Drinking Fountain-Tony Dapolito Recreation Center,102,3,6,10014
M104-DF0001,Activated,Pedestal,1,,FALSE,"Out in Open, Near Ballfield",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,037,393",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0003,Activated,Pedestal,1,,FALSE,"Out in Open, Near Ballfield",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,037,397",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0146,Activated,E High Low,2,FALSE,FALSE,Near Ballfield,TRUE,M104,Randall's Island Park,M104-ZN03,Stadium Area,M-11R,M,"100,039,533",DRINKFTN,I,M104-ZN03,E High Low-Randall's Island Park-Stadium Area,111,8,25,10035
M104-DF0147,Activated,E High Low,2,FALSE,FALSE,Out in Open,TRUE,M104,Randall's Island Park,M104,,M-11R,M,"100,039,560",DRINKFTN,I,M104-ZN03,E High Low-Randall's Island Park-Zone 3,111,8,25,10035
M104-DF0158,Activated,Pedestal,1,FALSE,FALSE,Near Ballfield,TRUE,M104,Randall's Island Park,M104-ZN04,Central Spine,M-11R,M,"100,039,530",DRINKFTN,I,M104-ZN04,Pedestal-Randall's Island Park-Central Spine,111,8,25,10035
M104-DF0159,Activated,Bottle Filler High Low,3,FALSE,FALSE,Out in Open,TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,557",DRINKFTN,I,M104-ZN02,Bottle Filler High Low-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0160,Activated,Pedestal,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,580",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0161,Activated,Pedestal,1,FALSE,FALSE,"Near Ballfield, Out in Open",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,507",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0162,Activated,CS Metal,1,FALSE,FALSE,Out in Open,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,039,553",DRINKFTN,I,M104-BLG6324,CS Metal-Randall's Island Park-Sportime Tennis Center Comfort Station,111,8,25,10035
M104-DF0163,Activated,Pedestal,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,576",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0164,Activated,Pedestal,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,517",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0165,Activated,Pedestal,1,FALSE,FALSE,Near Ballfield,TRUE,M104,Randall's Island Park,M104,,M-11R,M,"100,039,503",DRINKFTN,I,M104,Pedestal-Randall's Island Park,111,8,25,10035
M104-DF0166,Activated,Pedestal,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,504",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0167,Activated,Pedestal,1,FALSE,FALSE,Near Ballfield,TRUE,M104,Randall's Island Park,M104-ZN02,Sunken Meadow,M-11R,M,"100,039,528",DRINKFTN,I,M104-ZN02,Pedestal-Randall's Island Park-Sunken Meadow,111,8,25,10035
M104-DF0168,Activated,Pedestal,1,FALSE,FALSE,"Near Ballfield, Out in Open",TRUE,M104,Randall's Island Park,M104-ZN01,Bronx Shore,M-11R,M,"100,039,555",DRINKFTN,I,M104-ZN01,Pedestal-Randall's Island Park-Bronx Shore,111,8,25,10035
M104-DF0169,Activated,Pedestal,1,FALSE,FALSE,Out in Open,TRUE,M104,Randall's Island Park,M104-ZN01,Bronx Shore,M-11R,M,"100,039,577",DRINKFTN,I,M104-ZN01,Pedestal-Randall's Island Park-Bronx Shore,111,8,25,10035
M104-DF0929,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,201",DRINKFTN,I,M104-ZN01-BLG1561,Indoor Drinking Fountain-Randall's Island Park-5 Boro,111,8,25,10035
M256-DF0064,Activated,C,1,FALSE,FALSE,In Playground,TRUE,M256,MacArthur Playground,M256,,M-06,M,"100,039,308",DRINKFTN,I,M256,C-MacArthur Playground,106,4,17,10017
M104-DF0932,Activated,Bottle Filler Fountain,2,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,211",DRINKFTN,I,M104-ZN04-BLG15901,Bottle Filler Fountain-Randall's Island Park-Icahn Stadium,111,8,25,10035
M104-DF1087,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,190",DRINKFTN,I,M104-ZN04-BLG15901,Indoor Drinking Fountain-Randall's Island Park-Icahn Stadium,111,8,25,10035
M104-DF1088,Activated,Food Prep Sink,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,226",DRINKFTN,I,M104-ZN04-BLG15901,Food Prep Sink-Randall's Island Park-Icahn Stadium,111,8,25,10035
M104-DF1089,Activated,Bottle Filler Fountain,2,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,198",DRINKFTN,I,M104-ZN04-BLG15901,Bottle Filler Fountain-Randall's Island Park-Icahn Stadium,111,8,25,10035
M104-DF1091,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,187",DRINKFTN,I,M104-ZN04-BLG15901,Water Cooler-Randall's Island Park-Icahn Stadium,111,8,25,10035
M104-DF1092,Activated,Bottle Filler Fountain,2,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,217",DRINKFTN,I,M104-ZN04-BLG15901,Bottle Filler Fountain-Randall's Island Park-Icahn Stadium,111,8,25,10035
M104-DF1093,Activated,Food Prep Sink,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,189",DRINKFTN,I,M104-ZN01-BLG1561,Food Prep Sink-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1094,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,207",DRINKFTN,I,M104-ZN01-BLG1561,Indoor Drinking Fountain-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1095,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,219",DRINKFTN,I,M104-ZN01-BLG1561,Indoor Drinking Fountain-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1096,Activated,Bottle Filler Fountain,2,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,208",DRINKFTN,I,M104-ZN01-BLG1561,Bottle Filler Fountain-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1097,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,188",DRINKFTN,I,M104-ZN01-BLG1561,Water Cooler-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1098,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,218",DRINKFTN,I,M104-ZN01-BLG1561,Water Cooler-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1099,Activated,Slop Sink,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,228",DRINKFTN,I,M104-ZN01-BLG1561,Slop Sink-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1100,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,227",DRINKFTN,I,M104-ZN01-BLG1561,Water Cooler-Randall's Island Park-5 Boro,111,8,25,10035
M104-DF1101,Activated,Food Prep Sink,1,,FALSE,Indoor,FALSE,M104,Randall's Island Park,M104,,M-11R,M,"100,043,200",DRINKFTN,I,M104-ZN01-BLG1561,Food Prep Sink-Randall's Island Park-5 Boro,111,8,25,10035
M105-DF0006,Activated,F,1,,FALSE,In Playground,TRUE,M105,Sara D. Roosevelt Park,M105-08,Hester St Plgd,M-03,M,"100,037,400",DRINKFTN,I,M105-08,F-Sara D. Roosevelt Park-Hester St Plgd,103,1,5,10002
M105-DF0007,Activated,Bottle Filler High Low,3,,FALSE,"Near Ballfield, Just Outside Playground",TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,037,401",DRINKFTN,I,M105,Bottle Filler High Low-Sara D. Roosevelt Park,103,1,5,10002
M105-DF0010,Activated,A,1,,TRUE,"Under Tree, Near Ballfield, Just Outside Playground",TRUE,M105,Sara D. Roosevelt Park,M105-01,Houston St Plgd,M-03,M,"100,037,402",DRINKFTN,I,M105-01,A-Sara D. Roosevelt Park-Houston St Plgd,103,1,5,10002
M105-DF0215,Activated,E,1,TRUE,TRUE,"Under Tree, Near Ballfield",TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,039,619",DRINKFTN,I,M105,E-Sara D. Roosevelt Park,103,1,5,10002
M105-DF0216,Activated,F,1,TRUE,TRUE,"Under Tree, Just Outside Playground, Near Ballfield",TRUE,M105,Sara D. Roosevelt Park,M105-08,Hester St Plgd,M-03,M,"100,039,634",DRINKFTN,I,M105-08,F-Sara D. Roosevelt Park-Hester St Plgd,103,1,5,10002
M105-DF0217,Activated,C,1,FALSE,FALSE,"Under Tree, Near Ballfield",TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,039,707",DRINKFTN,I,M105,C-Sara D. Roosevelt Park,103,1,5,10002
M105-DF0218,Activated,C,1,FALSE,TRUE,Under Tree,TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,039,721",DRINKFTN,I,M105,C-Sara D. Roosevelt Park,103,1,5,10002
M105-DF0219,Activated,D,1,FALSE,FALSE,"Under Tree, Just Outside Playground, Near Ballfield",TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,039,733",DRINKFTN,I,M105,D-Sara D. Roosevelt Park,103,1,5,10002
M105-DF0682,Activated,E,1,,FALSE,Near_Ballfield,TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,223",DRINKFTN,I,M105,E-Sara D. Roosevelt Park,103,1,5,10002
M105-DF0991,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,185",DRINKFTN,I,M105-BLG1527,Indoor Drinking Fountain-Sara D. Roosevelt Park-SDR D ADMIN BLGD,103,1,5,10002
M105-DF0992,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,205",DRINKFTN,I,M105-BLG1527,Indoor Drinking Fountain-Sara D. Roosevelt Park-SDR D ADMIN BLGD,103,1,5,10002
M105-DF0993,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,186",DRINKFTN,I,M105-BLG1528,Indoor Drinking Fountain-Sara D. Roosevelt Park-SDR STOREHOUSE,103,1,5,10002
M105-DF0994,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,215",DRINKFTN,I,M105-BLG1528,Water Cooler-Sara D. Roosevelt Park-SDR STOREHOUSE,103,1,5,10002
M105-DF0995,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,195",DRINKFTN,I,M105-BLG1529,Indoor Drinking Fountain-Sara D. Roosevelt Park-Community Center,103,1,5,10002
M105-DF0996,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,231",DRINKFTN,I,M105-BLG1529,Indoor Drinking Fountain-Sara D. Roosevelt Park-Community Center,103,1,5,10002
M105-DF0997,Activated,Food Prep Sink,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,210",DRINKFTN,I,M105-BLG1529,Food Prep Sink-Sara D. Roosevelt Park-Community Center,103,1,5,10002
M105-DF0998,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,224",DRINKFTN,I,M105-BLG1529,Indoor Drinking Fountain-Sara D. Roosevelt Park-Community Center,103,1,5,10002
M105-DF0999,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,212",DRINKFTN,I,M105-BLG1530,Indoor Drinking Fountain-Sara D. Roosevelt Park-CENTRAL COMMUNICATIONS,103,1,5,10002
M105-DF1085,Activated,A,1,,FALSE,In Garden,TRUE,M105,Sara D. Roosevelt Park,M105,,M-03,M,"100,043,191",DRINKFTN,I,M105,A-Sara D. Roosevelt Park,103,1,5,10002
M107-DF0148,Activated,Pedestal,1,FALSE,FALSE,Near Ballfield,TRUE,M107,Wards Island Park,M104-ZN04,Central Spine,M-11R,M,"100,039,583",DRINKFTN,I,M104-ZN04,Pedestal-Wards Island Park-Central Spine,111,8,25,10035
M107-DF0149,Activated,Pedestal,1,,FALSE,Near Ballfield,TRUE,M107,Wards Island Park,M107-ZN06,Wards Meadow,M-11R,M,"100,039,511",DRINKFTN,I,M107-ZN06,Pedestal-Wards Island Park-Wards Meadow,111,8,25,10035
M107-DF0150,Activated,Pedestal,1,FALSE,FALSE,Near Ballfield,TRUE,M107,Wards Island Park,M107-ZN06,Wards Meadow,M-11R,M,"100,039,534",DRINKFTN,I,M107-ZN06,Pedestal-Wards Island Park-Wards Meadow,111,8,25,10035
M107-DF0151,Activated,Pedestal,1,FALSE,TRUE,Out in Open,TRUE,M107,Wards Island Park,M107-ZN06,Wards Meadow,M-11R,M,"100,039,523",DRINKFTN,I,M107-ZN06,Pedestal-Wards Island Park-Wards Meadow,111,8,25,10035
M107-DF0152,Activated,Bottle Filler Fountain,2,FALSE,FALSE,Out in Open,TRUE,M107,Wards Island Park,M107-ZN06,Wards Meadow,M-11R,M,"100,039,508",DRINKFTN,I,M107-ZN06,Bottle Filler Fountain-Wards Island Park-Wards Meadow,111,8,25,10035
M107-DF0153,Activated,C,1,FALSE,FALSE,In Playground,TRUE,M107,Wards Island Park,M107-ZN08,Hell Gate,M-11R,M,"100,039,532",DRINKFTN,I,M107-ZN08,C-Wards Island Park-Hell Gate,111,8,25,10035
M107-DF0154,Activated,Pedestal,1,FALSE,TRUE,Near Ballfield,TRUE,M107,Wards Island Park,M107-ZN05,Wards Waterfront,M-11R,M,"100,039,529",DRINKFTN,I,M107-ZN05,Pedestal-Wards Island Park-Wards Waterfront,111,8,25,10035
M107-DF0155,Activated,Pedestal High Low and Dog,3,FALSE,TRUE,"Under Tree, Out in Open",TRUE,M107,Wards Island Park,M107-ZN07,East River Fields,M-11R,M,"100,039,556",DRINKFTN,I,M107-ZN07,Pedestal High Low and Dog-Wards Island Park-East River Fields,111,8,25,10035
M107-DF0156,Activated,E,1,FALSE,FALSE,Out in Open,TRUE,M107,Wards Island Park,M107-ZN05,Wards Waterfront,M-11R,M,"100,039,524",DRINKFTN,I,M107-ZN05,E-Wards Island Park-Wards Waterfront,111,8,25,10035
M107-DF0157,Activated,B,1,FALSE,FALSE,Out in Open,TRUE,M107,Wards Island Park,M107-ZN05,Wards Waterfront,M-11R,M,"100,039,506",DRINKFTN,I,M107-ZN05,B-Wards Island Park-Wards Waterfront,111,8,25,10035
M107-DF0935,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M107,Wards Island Park,M104-ZN04,Central Spine,M-11R,M,"100,043,755",DRINKFTN,I,M107-BLG7163,Water Cooler-Wards Island Park-,111,8,25,10035
M107-DF1086,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,M107,Wards Island Park,M104-ZN04,Central Spine,M-11R,M,"100,043,758",DRINKFTN,I,M107-BLG7163,Water Cooler-Wards Island Park-,111,8,25,10035
M108G-DF0872,Activated,E High Low,2,,TRUE,,TRUE,M108G,Playground 103 CIII,M108G,,M-15,M,"100,042,335",DRINKFTN,I,M108G,E High Low-Playground 103 CIII,111,8,23,10029
M108G-DF0873,Activated,Bottle Filler High Low,3,,FALSE,,TRUE,M108G,Playground 103 CIII,M108G,,M-15,M,"100,043,204",DRINKFTN,I,M108G,Bottle Filler High Low-Playground 103 CIII,111,8,23,10029
M108N-DF0066,Broken,B,1,FALSE,FALSE,Out in Open,TRUE,M108N,Peter Detmold Park,M108N,,M-06,M,"100,039,296",DRINKFTN,I,M108N,B-Peter Detmold Park,106,4,17,10022
M108P-DF0065,Activated,E,1,TRUE,FALSE,Under Tree,TRUE,M108P,Sutton Parks,M108P,,M-06,M,"100,039,360",DRINKFTN,I,M108P,E-Sutton Parks,106,4,17,10022
M108Q1-DF0637,Activated,F,1,TRUE,FALSE,Out in Open,TRUE,M108Q1,Andrew Haswell Green Park,M108T-ZN05,East River Esplanade Zone 5,M-15,M,"100,040,442",DRINKFTN,I,M108T-ZN05,F-Andrew Haswell Green Park-East River Esplanade Zone 5,108,5,19,10065
M108Q1-DF0638,Activated,F and Dog,2,TRUE,FALSE,In Shade,TRUE,M108Q1,Andrew Haswell Green Park,M108T-ZN05,East River Esplanade Zone 5,M-15,M,"100,040,472",DRINKFTN,I,M108T-ZN05,F and Dog-Andrew Haswell Green Park-East River Esplanade Zone 5,108,5,19,10065
M108Q1-DF0639,Activated,F,1,TRUE,FALSE,In Shade,TRUE,M108Q1,Andrew Haswell Green Park,M108T-ZN05,East River Esplanade Zone 5,M-15,M,"100,040,390",DRINKFTN,I,M108T-ZN05,F-Andrew Haswell Green Park-East River Esplanade Zone 5,108,5,19,10065
M108Q-DF0264,UnderConstruction,D,1,TRUE,FALSE,Out in Open,TRUE,M108Q,Twenty-Four Sycamores Park,M108Q,,M-08,M,"100,039,747",DRINKFTN,I,M108Q,D-Twenty-Four Sycamores Park,108,5,19,10065
M108Q-DF0265,UnderConstruction,A,1,TRUE,FALSE,Under Tree,TRUE,M108Q,Twenty-Four Sycamores Park,M108Q,,M-08,M,"100,039,754",DRINKFTN,I,M108Q,A-Twenty-Four Sycamores Park,108,5,19,10065
M108Q-DF0636,UnderConstruction,CS Concrete,1,TRUE,FALSE,"In Shade, In Playground",TRUE,M108Q,Twenty-Four Sycamores Park,M108Q,,M-08,M,"100,040,400",DRINKFTN,I,M108Q,CS Concrete-Twenty-Four Sycamores Park,108,5,19,10065
M108T-DF0640,Activated,Bottle Filler High Low,3,FALSE,TRUE,In Shade,TRUE,M108T,East River Walk,M108T-ZN05,East River Esplanade Zone 5,M-15,M,"100,040,414",DRINKFTN,I,M108T-ZN05,Bottle Filler High Low-East River Walk-East River Esplanade Zone 5,108,5,19,10021
M110-DF0543,Activated,A,1,TRUE,FALSE,"Under Tree, In Shade, Near Ballfield, In Playground",TRUE,M110,William McCray Playground,M110,,M-10,M,"100,040,124",DRINKFTN,I,M110,A-William McCray Playground,110,9,32,10037
M111-DF0507,Activated,Bottle Filler,1,TRUE,FALSE,"Near Ballfield, Just Outside Playground",TRUE,M111,James Weldon Johnson Playground,M111,,M-11,M,"100,040,112",DRINKFTN,I,M111,Bottle Filler-James Weldon Johnson Playground,111,8,23,10029
M111-DF0508,NotYetActivated,F High Low,2,TRUE,FALSE,"Near Ballfield, Just Outside Playground",TRUE,M111,James Weldon Johnson Playground,M111,,M-11,M,"100,040,140",DRINKFTN,I,M111,F High Low-James Weldon Johnson Playground,111,8,23,10029
M111-DF0509,Activated,F High Low,2,TRUE,FALSE,"Under Tree, Near Ballfield, In Playground",TRUE,M111,James Weldon Johnson Playground,M111,,M-11,M,"100,040,164",DRINKFTN,I,M111,F High Low-James Weldon Johnson Playground,111,8,23,10029
M111-DF0510,Activated,F High Low,2,TRUE,FALSE,"Under Tree, In Playground, Near Ballfield",TRUE,M111,James Weldon Johnson Playground,M111,,M-11,M,"100,040,089",DRINKFTN,I,M111,F High Low-James Weldon Johnson Playground,111,8,23,10029
M113-DF0315,UnderConstruction,A,1,TRUE,FALSE,"In Shade, In Playground",TRUE,M113,Joseph C. Sauer Park,M113,,M-03,M,"100,039,867",DRINKFTN,I,M113,A-Joseph C. Sauer Park,103,2,9,10009
M113-DF0316,UnderConstruction,A,1,FALSE,FALSE,"Under Tree, In Shade, In Playground",TRUE,M113,Joseph C. Sauer Park,M113,,M-03,M,"100,039,789",DRINKFTN,I,M113,A-Joseph C. Sauer Park,103,2,9,10009
M116-DF0318,Broken,D,1,TRUE,FALSE,"Under Tree, In Playground, Near Ballfield",TRUE,M116,ABC Playground,M116,,M-03,M,"100,039,842",DRINKFTN,I,M116,D-ABC Playground,103,1,7,10002
M120A-DF0614,Broken,A,1,TRUE,FALSE,"Near Ballfield, In Shade, Under Tree",TRUE,M120A,William F. Passannante Ballfield,M120A,,M-02,M,"100,040,328",DRINKFTN,I,M120A,A-William F. Passannante Ballfield,102,3,6,10012
M120B-DF0615,Activated,A,1,TRUE,TRUE,"Under Tree, In Playground",TRUE,M120B,Playground of the Americas,M120B,,M-02,M,"100,040,330",DRINKFTN,I,M120B,A-Playground of the Americas,102,3,1,10014
M124-DF0220,Activated,C,1,FALSE,FALSE,"Under Tree, Near Ballfield, Just Outside Playground",TRUE,M124,First Park,M124,,M-03,M,"100,039,720",DRINKFTN,I,M124,C-First Park,103,2,9,10003
M124-DF0221,Activated,C,1,FALSE,FALSE,"Under Tree, In Playground",TRUE,M124,First Park,M124,,M-03,M,"100,039,701",DRINKFTN,I,M124,C-First Park,103,2,9,10003
M125B-DF0211,Activated,C,1,FALSE,FALSE,Under Tree,TRUE,M125B,Minetta Playground,M125B,,M-02,M,"100,039,655",DRINKFTN,I,M125B,C-Minetta Playground,102,1,6,10012
M125C-DF0210,Activated,A,1,TRUE,FALSE,Under Tree,TRUE,M125C,West 4th Street Courts,M125C,,M-02,M,"100,039,630",DRINKFTN,I,M125C,A-West 4th Street Courts,102,1,6,10012
M130-DF1000,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M130,Recreation Center 54,M130,,M-06,M,"100,043,221",DRINKFTN,I,M130-BLG0661,Indoor Drinking Fountain-Recreation Center 54,106,4,17,10022
M130-DF1001,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M130,Recreation Center 54,M130,,M-06,M,"100,043,213",DRINKFTN,I,M130-BLG0661,Indoor Drinking Fountain-Recreation Center 54,106,4,17,10022
M130-DF1002,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M130,Recreation Center 54,M130,,M-06,M,"100,043,264",DRINKFTN,I,M130-BLG0661,Indoor Drinking Fountain-Recreation Center 54,106,4,17,10022
M131-DF1003,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M131,Hansborough Recreation Center,M131,,M-10,M,"100,043,293",DRINKFTN,I,M131-BLG0674,Indoor Drinking Fountain-Hansborough Recreation Center,110,9,32,10037
M131-DF1004,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M131,Hansborough Recreation Center,M131,,M-10,M,"100,043,320",DRINKFTN,I,M131-BLG0674,Indoor Drinking Fountain-Hansborough Recreation Center,110,9,32,10037
M131-DF1005,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,M131,Hansborough Recreation Center,M131,,M-10,M,"100,043,269",DRINKFTN,I,M131-BLG0674,Indoor Drinking Fountain-Hansborough Recreation Center,110,9,32,10037
M132-DF0289,UnderConstruction,D,1,FALSE,FALSE,"In Playground, Near Ballfield",TRUE,M132,Little Flower Playground,M132,,M-03,M,"100,039,876",DRINKFTN,I,M132,D-Little Flower Playground,103,1,7,10002
M132-DF0290,UnderConstruction,A,1,FALSE,FALSE,"Under Tree, Just Outside Playground, Near Ballfield",TRUE,M132,Little Flower Playground,M132,,M-03,M,"100,039,799",DRINKFTN,I,M132,A-Little Flower Playground,103,1,7,10002
M132-DF0291,UnderConstruction,A,1,FALSE,FALSE,"Under Tree, Just Outside Playground",TRUE,M132,Little Flower Playground,M132,,M-03,M,"100,039,845",DRINKFTN,I,M132,A-Little Flower Playground,103,1,7,10002
M138-DF0532,UnderConstruction,A,1,TRUE,FALSE,"In Playground, Near Ballfield",TRUE,M138,Bill Bojangles Robinson Playground,M138,,M-10,M,"100,040,177",DRINKFTN,I,M138,A-Bill Bojangles Robinson Playground,110,9,32,10039
M140-DF0039,Activated,Bottle Filler High Low,3,TRUE,FALSE,"In Playground, Under Tree",TRUE,M140,Recreational Area,M140-01,Ten Mile River Plgd,M-14,M,"100,039,251",DRINKFTN,I,M140-01,Bottle Filler High Low-Recreational Area-Ten Mile River Plgd,109,7,30,10032
M140-DF0040,Activated,A,1,FALSE,FALSE,Near Ballfield,TRUE,M140,Recreational Area,M072-ZN28,147 St Softball & N Waterfront Landscape,M-14,M,"100,039,278",DRINKFTN,I,M072-ZN28,A-Recreational Area-147 St Softball & N Waterfront Landscape,109,7,30,10032
M140-DF0041,Activated,A,1,FALSE,FALSE,Near Ballfield,TRUE,M140,Recreational Area,M072-ZN28,147 St Softball & N Waterfront Landscape,M-14,M,"100,039,201",DRINKFTN,I,M072-ZN28,A-Recreational Area-147 St Softball & N Waterfront Landscape,109,7,30,10032
M141-DF0526,Activated,A,1,TRUE,FALSE,"Under Tree, Near Ballfield, Just Outside Playground",TRUE,M141,Harlem Lane Playground,M141,,M-10,M,"100,040,132",DRINKFTN,I,M141,A-Harlem Lane Playground,110,9,32,10039
M141-DF0527,Activated,A,1,TRUE,FALSE,"Under Tree, Near Ballfield, Just Outside Playground",TRUE,M141,Harlem Lane Playground,M141,,M-10,M,"100,040,156",DRINKFTN,I,M141,A-Harlem Lane Playground,110,9,32,10039
