System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B237-DF0313,Activated,A,1,TRUE,FALSE,Near Ballfield,TRUE,B237,John Hancock Playground,B237,,B-03,B,"100,037,751",DRINKFTN,I,B237,A-John Hancock Playground,303,36,79,11216
B223PC-DF0224,Activated,C,1,FALSE,TRUE,"Under Tree, In Shade",TRUE,B223PC,Rodney Playground South,B223PC,,B-01,B,"100,037,603",DRINKFTN,I,B223PC,C-Rodney Playground South,301,34,90,11211
B223PD-DF0892,Activated,E,1,,FALSE,"In Shade, In Playground",TRUE,B223PD,Rodney Playground Center,B223PD,,B-01,B,"100,040,214",DRINKFTN,I,B223PD,E-Rodney Playground Center,301,34,90,11211
B223PE-DF0893,Activated,A,1,,TRUE,"In Shade, In Playground",TRUE,B223PE,Rodney Playground North,B223PE,,B-01,B,"100,040,215",DRINKFTN,I,B223PE,A-Rodney Playground North,301,34,90,11211
B223R-DF0386,Activated,E,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B223R,Jaime Campiz Playground,B223R,,B-01,B,"100,037,847",DRINKFTN,I,B223R,E-Jaime Campiz Playground,301,34,90,11211
B223R-DF0797,Activated,E,2,TRUE,FALSE,In Playground,TRUE,B223R,Jaime Campiz Playground,B223R,,B-01,B,"100,039,429",DRINKFTN,I,B223R,E-Jaime Campiz Playground,301,34,90,11211
B224-DF0118,Broken,D,1,TRUE,TRUE,In Playground,TRUE,B224,P.O. Reinaldo Salgado Playground,B224,,B-03,B,"100,037,495",DRINKFTN,I,B224,D-P.O. Reinaldo Salgado Playground,303,41,81,11221
B224-DF0119,Broken,C,1,FALSE,FALSE,Near Ballfield,TRUE,B224,P.O. Reinaldo Salgado Playground,B224,,B-03,B,"100,037,519",DRINKFTN,I,B224,C-P.O. Reinaldo Salgado Playground,303,41,81,11221
B225-DF0142,Activated,A,1,TRUE,FALSE,"Near Ballfield, In Playground",TRUE,B225,St. Andrew's Playground,B225,,B-03,B,"100,037,549",DRINKFTN,I,B225,A-St. Andrew's Playground,303,36,79,11216
B225-DF0143,Activated,A,1,TRUE,FALSE,"Near Ballfield, In Playground",TRUE,B225,St. Andrew's Playground,B225,,B-03,B,"100,037,494",DRINKFTN,I,B225,A-St. Andrew's Playground,303,36,79,11216
